learn_type,algo_type,model,num_hp,eval_type,iteration,eval_score,Learning Rate,Reward Decay
Reinforcement Learning,Gaussian,Bandit,1,Score,200,-10.2,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,201,8.3,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,202,13.2,7.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,203,1.11022302463e-16,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,204,7.3,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,205,2.7,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,206,0.8,4.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,207,0.7,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,208,-1.8,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,209,0.8,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,210,14.4,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,211,-1.1,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,212,-3.4,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,213,1.3,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,214,11.4,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,215,4.0,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,216,5.3,4.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,217,7.4,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,218,10.3,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,219,10.4,7.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,220,5.4,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,221,4.8,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,222,1.1,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,223,-7.2,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,224,3.7,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,225,14.2,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,226,5.5,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,227,10.8,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,228,4.5,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,229,3.5,4.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,230,10.1,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,231,-0.2,7.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,232,5.6,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,233,-0.7,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,234,5.2,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,235,-1.4,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,236,8.8,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,237,4.3,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,238,3.4,7.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,239,6.1,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,240,0.1,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,241,0.9,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,242,-1.7,4.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,243,9.1,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,244,1.0,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,245,1.0,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,246,9.8,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,247,-1.2,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,248,5.4,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,249,-0.6,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,250,-6.8,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,251,-0.2,4.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,252,-0.6,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,253,3.5,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,254,3.6,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,255,-1.2,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,256,-0.4,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,257,15.3,7.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,258,21.0,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,259,12.1,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,260,5.4,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,261,4.6,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,262,3.1,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,263,7.7,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,264,2.7,4.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,265,2.1,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,266,8.0,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,267,3.4,7.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,268,9.3,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,269,0.1,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,270,15.4,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,271,5.0,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,272,13.5,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,273,7.2,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,274,-6.9,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,275,1.8,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,276,5.5,7.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,277,14.9,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,278,5.1,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,279,11.4,4.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,280,-1.0,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,281,14.3,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,282,3.7,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,283,9.9,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,284,3.6,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,285,-1.3,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,286,1.2,7.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,287,-7.4,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,288,-1.5,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,289,0.2,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,290,2.1,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,291,0.9,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,292,4.4,4.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,293,2.9,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,294,-0.2,7.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,295,6.4,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,296,3.2,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,297,6.3,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,298,-2.8,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,299,3.2,4.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,300,-2.1,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,301,0.9,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,302,2.7,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,303,2.4,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,304,4.3,7.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,305,12.8,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,306,5.6,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,307,9.3,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,308,1.6,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,309,-1.2,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,310,-2.1,2.0,
